accepted_symbol,synonym_symbol,scientific_name,county,common_name,genus,family,family_common_name,order,subclass,class,division,growth_habit,active_growth_period,fall_conspicuous,foliage_color,foliage_texture,fruit_conspicuous,growth_form,base_age_height,mature_height,leaf_retention,lifespan,shape_orientation,toxicity,coarse_soil,medium_soil,fine_soil,drought_tolerance,moisture_use,minimum_precipitation,maximum_precipitation,minimum_root_depth,shade_tolerance,bloom_period,fruit_seed_abundance,fruit_nut_period_begin,fruit_nut_period_end,fruit_seed_persistence,berry_nut_seed_product,fodder_product,palatable_human
CATE9,,Carya texana,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Carroll, Clark, Clay, Cleburne, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Madison, Marion, Miller, Mississippi, Montgomery, Nevada, Newton, Ouachita, Perry, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Yell)",black hickory,Carya,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATO6,,Carya tomentosa,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",mockernut hickory,Carya,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPU9,,Castanea pumila,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Cleburne, Cleveland, Columbia, Conway, Crawford, Drew, Faulkner, Franklin, Fulton, Garland, Hempstead, Hot Spring, Howard, Independence, Izard, Jefferson, Johnson, Lafayette, Little River, Logan, Lonoke, Madison, Marion, Miller, Montgomery, Nevada, Newton, Ouachita, Perry, Pike, Polk, Pope, Pulaski, Saline, Scott, Searcy, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",chinquapin,Castanea,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,No,Green,Coarse,Yes,Multiple Stem,14,20,No,Short,Erect,None,Yes,Yes,No,High,Low,40,80,20,Intermediate,Spring,Low,Summer,Fall,No,Yes,No,Yes
CAPUO,,Castanea pumila var. ozarkensis,"AR(Baxter, Benton, Boone, Carroll, Cleburne, Conway, Crawford, Faulkner, Franklin, Fulton, Garland, Hot Spring, Howard, Independence, Izard, Johnson, Logan, Lonoke, Madison, Marion, Montgomery, Newton, Perry, Polk, Pope, Pulaski, Saline, Scott, Searcy, Stone, Van Buren, Washington, Woodruff, Yell)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CAPUP3,,Castanea pumila var. pumila,"AR(Arkansas, Ashley, Bradley, Calhoun, Chicot, Clark, Cleveland, Columbia, Drew, Faulkner, Garland, Hempstead, Hot Spring, Howard, Jefferson, Lafayette, Little River, Logan, Miller, Montgomery, Nevada, Ouachita, Pike, Polk, Pope, Pulaski, Saline, Union, Washington, White)",chinquapin,Castanea,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABI8,,Catalpa bignonioides,"AR(Ashley, Bradley, Drew, Faulkner, Franklin, Garland, Jefferson, Logan, Newton, Ouachita, Phillips, Pike, Polk, Pope, Pulaski, Sevier, St. Francis, Stone, Union, Washington, Yell)",southern catalpa,Catalpa,Bignoniaceae,Trumpet-creeper family,Scrophulariales,Asteridae,Magnoliopsida,Magnoliophyta,Tree,Spring,No,Green,Coarse,Yes,Single Crown,66,66,No,Long,Erect,None,Yes,Yes,No,Medium,Low,30,65,36,Intermediate,Mid Spring,Medium,Summer,Summer,Yes,No,No,No
CASP8,,Catalpa speciosa,"AR(Benton, Clark, Hempstead, Independence, Jefferson, Pulaski, Sebastian, Washington)",northern catalpa,Catalpa,Bignoniaceae,Trumpet-creeper family,Scrophulariales,Asteridae,Magnoliopsida,Magnoliophyta,Tree,Spring,Yes,Dark Green,Medium,Yes,Single Stem,20,60,No,Long,Erect,None,Yes,Yes,No,Medium,Low,20,80,20,Intolerant,Early Summer,Medium,Fall,Fall,Yes,No,No,No
CELA,,Celtis laevigata,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",sugarberry,Celtis,Ulmaceae,Elm family,Urticales,Hamamelididae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Green,Medium,No,Single Stem,35,80,No,Moderate,Erect,None,No,Yes,Yes,Low,High,20,80,24,Tolerant,Early Spring,High,Summer,Fall,Yes,No,No,No
CEOC,,Celtis occidentalis,"AR(Baxter, Benton, Boone, Carroll, Clark, Clay, Cleburne, Conway, Crawford, Crittenden, Faulkner, Franklin, Fulton, Greene, Independence, Izard, Jackson, Johnson, Lawrence, Madison, Marion, Montgomery, Pike, Pope, Randolph, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Van Buren, Washington, White)",common hackberry,Celtis,Ulmaceae,Elm family,Urticales,Hamamelididae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Green,Coarse,No,Single Stem,26,60,No,Moderate,Erect,None,Yes,Yes,Yes,High,Low,14,60,36,Tolerant,Mid Spring,High,Summer,Fall,Yes,No,No,No
CEPU10,,Celtis pumila,"AR(Arkansas, Baxter, Benton, Boone, Bradley, Carroll, Clark, Cleburne, Cleveland, Conway, Crawford, Crittenden, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Independence, Izard, Jefferson, Johnson, Lee, Logan, Madison, Marion, Montgomery, Newton, Ouachita, Pike, Pope, Pulaski, Saline, Scott, Searcy, Sevier, Sharp, Stone, Union, Van Buren, Washington)",dwarf hackberry,Celtis,Ulmaceae,,Urticales,Hamamelididae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEOC2,,Cephalanthus occidentalis,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",common buttonbush,Cephalanthus,Rubiaceae,Madder family,Rubiales,Asteridae,Magnoliopsida,Magnoliophyta,"Shrub, Tree",Spring,No,Green,Coarse,Yes,Multiple Stem,15,15,No,Short,Erect,None,Yes,Yes,Yes,Medium,High,20,80,14,Tolerant,Summer,Medium,Fall,Fall,Yes,No,No,No
CECA4,,Cercis canadensis,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",eastern redbud,Cercis,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,No,Green,Coarse,Yes,Multiple Stem,25,30,No,Short,Erect,None,No,Yes,Yes,High,Low,20,80,24,Tolerant,Spring,Medium,Spring,Summer,Yes,No,No,Yes
CECAC,,Cercis canadensis var. canadensis,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",eastern redbud,Cercis,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHVI3,,Chionanthus virginicus,"AR(Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Clark, Cleburne, Cleveland, Columbia, Conway, Drew, Faulkner, Franklin, Garland, Grant, Hempstead, Hot Spring, Howard, Independence, Izard, Jefferson, Johnson, Lafayette, Logan, Madison, Marion, Miller, Nevada, Newton, Ouachita, Perry, Polk, Pope, Saline, Scott, Searcy, Stone, Union, Van Buren, Washington, Yell)",white fringetree,Chionanthus,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,No,Green,Medium,Yes,Multiple Stem,20,25,No,Short,Erect,None,Yes,Yes,No,Medium,High,35,60,20,Tolerant,Mid Spring,High,Summer,Summer,No,No,No,No
CLKE,,Cladrastis kentukea,"AR(Baxter, Benton, Boone, Carroll, Cleburne, Conway, Crawford, Dallas, Franklin, Hot Spring, Independence, Johnson, Logan, Madison, Marion, Newton, Polk, Pope, Pulaski, Stone, Van Buren, Washington)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
COAL2,,Cornus alternifolia,"AR(Marion, Newton, Pope, Stone)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CODR,,Cornus drummondii,"AR(Arkansas, Baxter, Benton, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Conway, Craighead, Crawford, Crittenden, Cross, Desha, Faulkner, Franklin, Fulton, Garland, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jefferson, Johnson, Lawrence, Lee, Lincoln, Little River, Logan, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Phillips, Pike, Poinsett, Polk, Pope, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Van Buren, Washington, Yell)",roughleaf dogwood,Cornus,Cornaceae,Dogwood family,Cornales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Green,Medium,Yes,Multiple Stem,25,20,No,Long,Erect,None,No,Yes,Yes,Low,Low,32,55,20,Intermediate,Mid Spring,Medium,Summer,Fall,No,No,No,No
COFL2,,Cornus florida,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Cross, Dallas, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Yell)",flowering dogwood,Cornus,Cornaceae,Dogwood family,Cornales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Green,Medium,Yes,Multiple Stem,20,30,No,Short,Erect,,Yes,Yes,No,Low,Low,28,80,18,Tolerant,Early Spring,Medium,Spring,Fall,Yes,No,No,No
COFO,,Cornus foemina,"AR(Arkansas, Ashley, Baxter, Bradley, Calhoun, Chicot, Clark, Clay, Columbia, Conway, Craighead, Crittenden, Drew, Faulkner, Franklin, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Jackson, Jefferson, Lafayette, Lincoln, Lonoke, Marion, Miller, Mississippi, Nevada, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Sevier, St. Francis, White, Woodruff, Yell)",stiff dogwood,Cornus,Cornaceae,Dogwood family,Cornales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Green,Fine,Yes,Thicket Forming,16,16,No,Moderate,Erect,None,No,Yes,Yes,Low,Medium,36,60,16,Intermediate,Mid Spring,Medium,Summer,Fall,Yes,No,No,No
COOB2,,Cotinus obovatus,"AR(Baxter, Benton, Boone, Carroll, Cleburne, Crawford, Garland, Izard, Marion, Newton, Pope, Searcy, Sharp, Stone, Washington)",American smoketree,Cotinus,Anacardiaceae,Sumac family,Sapindales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRBR,,Crataegus brachyacantha,"AR(Ashley, Columbia, Little River, Miller, Polk)",blueberry hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRCA,,Crataegus calpodendron,"AR(Garland, Logan, Newton, Phillips, Pope, Saline)",pear hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRCO2,,Crataegus coccinioides,AR(Washington),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CRCR2,,Crataegus crus-galli,"AR(Ashley, Baxter, Benton, Bradley, Calhoun, Clark, Clay, Columbia, Craighead, Crittenden, Cross, Drew, Faulkner, Franklin, Fulton, Garland, Greene, Hempstead, Hot Spring, Lincoln, Logan, Madison, Marion, Miller, Montgomery, Newton, Perry, Poinsett, Polk, Pope, Pulaski, Saline, Scott, Sevier, Sharp, St. Francis, Union, Washington)",cockspur hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Green,Medium,Yes,Single Stem,30,30,No,Long,Erect,None,Yes,Yes,Yes,High,Low,24,60,24,Intolerant,Late Spring,High,Summer,Fall,Yes,No,No,No
CREN,,Crataegus engelmannii,"AR(Ashley, Benton, Bradley, Craighead, Cross, Drew, Faulkner, Fulton, Garland, Greene, Hempstead, Hot Spring, Izard, Jefferson, Logan, Miller, Newton, Ouachita, Pike, Pope, Pulaski, Sevier, St. Francis, Washington)",Engelmann's hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFL,,Crataegus flabellata,AR(Pope),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CRIN3,,Crataegus intricata,"AR(Benton, Carroll, Columbia, Garland, Hot Spring, Logan, Madison, Montgomery, Newton, Polk, Pope, Searcy, Stone, Union, Washington)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CRMA5,,Crataegus marshallii,"AR(Arkansas, Ashley, Bradley, Calhoun, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Cross, Dallas, Drew, Faulkner, Franklin, Garland, Grant, Greene, Hempstead, Hot Spring, Independence, Jefferson, Johnson, Lafayette, Lincoln, Little River, Logan, Miller, Montgomery, Nevada, Ouachita, Perry, Pike, Poinsett, Polk, Pope, Pulaski, Saline, Scott, Sevier, St. Francis, Union, White, Yell)",parsley hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Green,Medium,Yes,Single Stem,25,25,No,Moderate,Erect,None,No,Yes,Yes,Low,Medium,34,60,18,Tolerant,Mid Spring,Medium,Summer,Fall,Yes,Yes,No,Yes
CRMO2,,Crataegus mollis,"AR(Ashley, Hempstead, Sharp, Washington)",downy hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROP,,Crataegus opaca,"AR(Ashley, Bradley, Drew, Miller, Union)",western mayhaw,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRPR2,,Crataegus pruinosa,"AR(Clay, Cleburne, Columbia, Cross, Franklin, Garland, Lee, Logan, Madison, Newton, Polk, Pope, St. Francis)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CRPU,,Crataegus punctata,"AR(Arkansas, Clay, Desha, Garland, Hempstead, Pope, Prairie, Washington, Woodruff)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CRSP,,Crataegus spathulata,"AR(Ashley, Bradley, Calhoun, Clark, Conway, Dallas, Drew, Faulkner, Franklin, Garland, Hempstead, Hot Spring, Howard, Johnson, Lafayette, Logan, Miller, Montgomery, Nevada, Ouachita, Perry, Phillips, Pike, Polk, Pope, Pulaski, Saline, Scott, Sevier, Stone, Union, Washington, Yell)",littlehip hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUN,,Crataegus uniflora,"AR(Benton, Cleburne, Faulkner, Franklin, Garland, Hempstead, Hot Spring, Logan, Nevada, Ouachita, Polk, Pulaski, Saline, Stone, Union, Van Buren)",dwarf hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRVI2,,Crataegus viridis,"AR(Ashley, Bradley, Carroll, Clark, Clay, Cleveland, Craighead, Desha, Drew, Faulkner, Franklin, Garland, Grant, Hempstead, Hot Spring, Howard, Jackson, Jefferson, Lafayette, Lee, Lincoln, Madison, Miller, Mississippi, Monroe, Montgomery, Ouachita, Phillips, Poinsett, Prairie, Pulaski, Sevier, St. Francis, Union, Washington)",green hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Yellow-Green,Fine,Yes,Multiple Stem,24,30,No,Long,Erect,None,No,Yes,Yes,Low,High,36,60,18,Intolerant,Early Spring,Medium,Spring,Fall,Yes,Yes,No,Yes
CRVIV2,,Crataegus viridis var. viridis,"AR(Ashley, Bradley, Carroll, Clark, Clay, Cleveland, Craighead, Desha, Drew, Faulkner, Franklin, Garland, Grant, Hempstead, Hot Spring, Howard, Jackson, Jefferson, Lafayette, Lee, Lincoln, Madison, Miller, Mississippi, Monroe, Montgomery, Ouachita, Phillips, Poinsett, Prairie, Pulaski, Sevier, St. Francis, Union, Washington)",green hawthorn,Crataegus,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVI5,,Diospyros virginiana,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",common persimmon,Diospyros,Ebenaceae,Ebony family,Ebenales,Dilleniidae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,Yes,Dark Green,Medium,Yes,Single Crown,25,55,No,Long,Irregular,None,Yes,Yes,Yes,Medium,Medium,30,80,36,Tolerant,Late Spring,High,Summer,Winter,Yes,Yes,No,Yes
ERHE4,,Erythrina herbacea,"AR(Columbia, Union)",redcardinal,Erythrina,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUAT5,,Euonymus atropurpureus,"AR(Baxter, Benton, Boone, Carroll, Cleburne, Conway, Craighead, Crawford, Crittenden, Faulkner, Franklin, Fulton, Hempstead, Independence, Izard, Johnson, Lee, Logan, Madison, Marion, Newton, Polk, Pope, Pulaski, Randolph, Searcy, Sebastian, Stone, Van Buren, Washington, Yell)",burningbush,Euonymus,Celastraceae,Bittersweet family,Celastrales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUATA2,,Euonymus atropurpureus var. atropurpureus,"AR(Baxter, Benton, Boone, Carroll, Cleburne, Conway, Craighead, Crawford, Crittenden, Faulkner, Franklin, Fulton, Hempstead, Independence, Izard, Johnson, Lee, Logan, Madison, Marion, Newton, Polk, Pope, Pulaski, Randolph, Searcy, Sebastian, Stone, Van Buren, Washington, Yell)",eastern wahoo,Euonymus,Celastraceae,Bittersweet family,Celastrales,Rosidae,Magnoliopsida,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAGR,,Fagus grandifolia,"AR(Ashley, Bradley, Calhoun, Carroll, Clark, Clay, Cleveland, Columbia, Craighead, Cross, Dallas, Drew, Faulkner, Franklin, Garland, Grant, Greene, Hot Spring, Howard, Jefferson, Johnson, Lee, Lincoln, Madison, Miller, Montgomery, Nevada, Newton, Ouachita, Phillips, Pike, Poinsett, Polk, Pope, St. Francis, Union)",American beech,Fagus,Fagaceae,Beech family,Fagales,Hamamelididae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,Yes,Green,Medium,No,Single Stem,30,80,No,Long,Erect,None,Yes,Yes,No,High,Medium,28,80,32,Tolerant,Mid Spring,Medium,Summer,Fall,Yes,Yes,No,Yes
FISI2,,Firmiana simplex,"AR(Drew, Lincoln)",Chinese parasoltree,Firmiana,Sterculiaceae,Cacao family,Malvales,Dilleniidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOAC,,Forestiera acuminata,"AR(Arkansas, Ashley, Baxter, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Grant, Greene, Hempstead, Howard, Independence, Izard, Jackson, Jefferson, Lafayette, Lawrence, Lee, Lincoln, Little River, Lonoke, Marion, Miller, Mississippi, Monroe, Nevada, Ouachita, Phillips, Poinsett, Pope, Prairie, Pulaski, Randolph, Scott, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, White, Woodruff, Yell)",eastern swampprivet,Forestiera,Oleaceae,Olive family,Scrophulariales,Asteridae,Magnoliopsida,Magnoliophyta,"Shrub, Tree",Summer,No,Green,Medium,No,Single Stem,30,33,No,Long,Erect,None,No,Yes,Yes,Low,High,35,50,12,Tolerant,Spring,Low,Spring,Summer,No,No,No,No
